iter	Passed	Remaining
940	13599	419976
941	13610	419859
942	13623	419799
943	13639	419814
944	13648	419647
945	13662	419618
946	13676	419591
947	13691	419574
948	13707	419605
949	13717	419467
950	13731	419450
951	13747	419461
952	13763	419515
953	13776	419450
954	13792	419493
955	13806	419466
956	13817	419340
957	13832	419329
958	13846	419297
959	13858	419209
960	13869	419094
961	13878	418933
962	13893	418932
963	13907	418905
964	13918	418792
965	13931	418737
966	13944	418681
967	13960	418695
968	13974	418676
969	13987	418616
970	14001	418597
971	14016	418579
972	14032	418614
973	14045	418559
974	14061	418602
975	14073	418503
976	14087	418499
977	14099	418400
978	14110	418299
979	14122	418201
980	14137	418194
981	14152	418210
982	14165	418139
983	14180	418151
984	14192	418075
985	14209	418127
986	14222	418059
987	14235	418002
988	14250	418031
989	14263	417973
990	14277	417935
991	14288	417832
992	14301	417772
993	14313	417673
994	14323	417527
995	14337	417526
996	14351	417476
997	14366	417480
998	14381	417483
999	14392	417380
1000	14410	417485
1001	14426	417493
1002	14438	417409
1003	14455	417471
1004	14471	417522
1005	14489	417594
1006	14503	417565
1007	14517	417549
1008	14530	417484
1009	14542	417424
1010	14557	417425
1011	14573	417443
1012	14585	417362
1013	14599	417325
1014	14612	417292
1015	14626	417259
1016	14640	417222
1017	14655	417233
1018	14673	417326
1019	14694	417484
1020	14707	417443
1021	14722	417450
1022	14739	417509
1023	14751	417418
1024	14768	417473
1025	14780	417387
1026	14791	417281
1027	14805	417270
1028	14819	417246
1029	14834	417243
1030	14849	417242
1031	14864	417244
1032	14880	417268
1033	14897	417323
1034	14911	417317
1035	14923	417213
1036	14939	417249
1037	14950	417146
1038	14965	417138
1039	14977	417065
1040	14988	416965
1041	14998	416806
1042	15009	416704
1043	15021	416631
1044	15038	416681
1045	15048	416563
1046	15064	416591
1047	15077	416534
1048	15090	416464
1049	15102	416407
1050	15118	416422
1051	15129	416310
1052	15144	416332
1053	15161	416390
1054	15178	416429
1055	15192	416418
1056	15203	416311
1057	15219	416325
1058	15229	416204
1059	15241	416133
1060	15254	416075
1061	15269	416075
1062	15280	415970
1063	15292	415887
1064	15304	415797
1065	15316	415719
1066	15329	415681
1067	15339	415558
1068	15351	415453
1069	15364	415421
1070	15377	415367
1071	15390	415320
1072	15402	415246
1073	15413	415125
1074	15424	415027
1075	15437	414968
1076	15450	414926
1077	15464	414911
1078	15476	414834
1079	15491	414840
1080	15503	414754
1081	15517	414718
1082	15532	414741
1083	15544	414649
1084	15558	414641
1085	15570	414556
1086	15583	414516
1087	15595	414426
1088	15612	414490
1089	15627	414491
1090	15641	414471
1091	15653	414389
1092	15665	414307
1093	15680	414323
1094	15698	414393
1095	15710	414309
1096	15722	414233
1097	15734	414163
1098	15746	414083
1099	15759	414049
1100	15774	414035
1101	15788	414013
1102	15801	413987
1103	15816	413967
1104	15826	413842
1105	15842	413889
1106	15858	413907
1107	15871	413857
1108	15886	413870
1109	15903	413919
1110	15918	413926
1111	15929	413825
1112	15943	413810
1113	15956	413753
1114	15973	413805
1115	15988	413807
1116	16003	413812
1117	16019	413833
1118	16030	413748
1119	16044	413730
1120	16057	413674
1121	16073	413704
1122	16089	413721
1123	16102	413673
1124	16116	413663
1125	16132	413692
1126	16142	413555
1127	16154	413474
1128	16168	413466
1129	16179	413370
1130	16191	413299
1131	16206	413293
1132	16219	413255
1133	16231	413166
1134	16241	413051
1135	16252	412949
1136	16264	412884
1137	16278	412866
1138	16291	412813
1139	16303	412725
1140	16313	412617
1141	16324	412521
1142	16337	412474
1143	16348	412368
1144	16363	412367
1145	16375	412294
1146	16387	412222
1147	16398	412145
1148	16413	412131
1149	16424	412038
1150	16438	412026
1151	16454	412046
1152	16467	412005
1153	16479	411929
1154	16490	411827
1155	16502	411773
1156	16515	411709
1157	16528	411675
1158	16538	411543
1159	16554	411582
1160	16566	411519
1161	16578	411439
1162	16591	411394
1163	16607	411426
1164	16622	411422
1165	16636	411407
1166	16652	411442
1167	16668	411450
1168	16682	411450
1169	16696	411428
1170	16712	411436
1171	16725	411401
1172	16740	411399
1173	16753	411348
1174	16764	411258
1175	16779	411271
1176	16797	411335
1177	16810	411290
1178	16822	411238
1179	16836	411213
1180	16851	411202
1181	16864	411163
1182	16877	411123
1183	16894	411175
1184	16907	411135
1185	16922	411135
1186	16935	411081
1187	16947	411013
1188	16958	410918
1189	16971	410887
1190	16985	410850
1191	17003	410925
1192	17014	410833
1193	17027	410796
1194	17045	410872
1195	17060	410878
1196	17074	410862
1197	17089	410869
1198	17104	410858
1199	17122	410945
1200	17136	410930
1201	17150	410886
1202	17167	410941
1203	17180	410911
1204	17196	410929
1205	17211	410925
1206	17230	411031
1207	17247	411082
1208	17257	410979
1209	17271	410955
1210	17283	410879
1211	17294	410797
1212	17309	410782
1213	17327	410858
1214	17343	410889
1215	17356	410852
1216	17375	410932
1217	17393	411006
1218	17412	411117
1219	17428	411148
1220	17440	411062
1221	17455	411084
1222	17467	411018
1223	17478	410922
1224	17491	410880
1225	17506	410882
1226	17520	410847
1227	17532	410791
1228	17542	410677
1229	17553	410590
1230	17566	410529
1231	17577	410449
1232	17593	410469
1233	17606	410420
1234	17621	410424
1235	17633	410373
1236	17646	410317
1237	17656	410218
1238	17669	410157
1239	17680	410062
1240	17692	410012
1241	17704	409949
1242	17719	409954
1243	17735	409968
1244	17751	409993
1245	17767	410031
1246	17781	409997
1247	17793	409936
1248	17810	409973
1249	17823	409935
1250	17836	409888
1251	17846	409788
1252	17857	409689
1253	17868	409606
1254	17879	409514
1255	17889	409397
1256	17901	409345
1257	17914	409290
1258	17924	409184
1259	17938	409172
1260	17951	409117
1261	17963	409054
1262	17976	409027
1263	17989	408977
1264	18003	408955
1265	18013	408846
1266	18029	408871
1267	18041	408819
1268	18055	408778
1269	18065	408686
1270	18078	408636
1271	18093	408628
1272	18104	408555
1273	18114	408453
1274	18125	408366
1275	18137	408303
1276	18154	408330
1277	18166	408276
1278	18179	408229
1279	18194	408230
1280	18205	408141
1281	18218	408115
1282	18232	408093
1283	18244	408034
1284	18260	408044
1285	18275	408054
1286	18289	408033
1287	18300	407951
1288	18315	407946
1289	18329	407938
1290	18341	407869
1291	18353	407811
1292	18367	407785
1293	18379	407730
1294	18390	407644
1295	18403	407594
1296	18417	407588
1297	18432	407590
1298	18446	407561
1299	18459	407534
1300	18474	407532
1301	18486	407469
1302	18499	407434
1303	18512	407393
1304	18524	407326
1305	18536	407254
1306	18547	407182
1307	18563	407198
1308	18573	407098
1309	18586	407053
1310	18599	407016
1311	18637	407522
1312	18649	407455
1313	18661	407410
1314	18684	407569
1315	18701	407632
1316	18713	407562
1317	18726	407529
1318	18740	407509
1319	18754	407491
1320	18766	407418
1321	18778	407360
1322	18796	407418
1323	18808	407357
1324	18819	407277
1325	18829	407167
1326	18841	407126
1327	18856	407129
1328	18870	407103
1329	18886	407129
